Municipality;CPEs;kWh
Abrantes                   ;100783;15167928.841000004
Aguiar da Beira            ;19754;1655155.924
Alandroal                  ;16577;2876982.2460000003
Albergaria-a-Velha         ;57045;18633173.434
Albufeira                  ;216948;48700989.117
Alcanena                   ;33070;7592997.701
Alcobaça                   ;157331;28459036.738
Alcochete                  ;47409;9456897.332
Alcoutim                   ;14836;899458.557
Alcácer do Sal             ;33969;8959896.730999999
Alenquer                   ;99604;23963034.167
Alfândega da Fé            ;16703;1075451.718
Alijó                      ;36630;2992829.2900000005
Aljezur                    ;26173;2740920.444
Aljustrel                  ;24266;17089910.473
Almada                     ;466243;53726841.524
Almeida                    ;28109;1826808.3860000002
Almeirim                   ;56523;9306746.254
Almodôvar                  ;22809;2193501.812
Alpiarça                   ;18555;5325176.421
Alter do Chão              ;11602;1251770.347
Alvaiázere                 ;23623;1825822.8449999997
Alvito                     ;6924;1749055.494
Amadora                    ;395262;50163069.582
Amarante                   ;127457;13498121.397000002
Amares                     ;45429;5274150.000999999
Anadia                     ;69305;12842183.348000003
Ansião                     ;36272;3754412.207
Arcos de Valdevez          ;76640;10408009.645999998
Arganil                    ;44600;4820997.190000001
Armamar                    ;20620;2149772.5689999997
Arouca                     ;50753;5997510.362999998
Arraiolos                  ;19508;3229343.816
Arronches                  ;9291;1320453.881
Arruda dos Vinhos          ;30802;4252562.086999999
Aveiro                     ;206071;71326885.078
Avis                       ;12776;5853384.29
Azambuja                   ;49714;19069479.277
Baião                      ;47882;3962673.1280000005
Barcelos                   ;229896;47231194.26599997
Barrancos                  ;4967;608680.503
Barreiro                   ;197645;22311546.08
Batalha                    ;39434;9017258.411
Beja                       ;92333;52192170.423
Belmonte                   ;20524;1671941.786
Benavente                  ;70906;18067260.692
Bombarral                  ;35662;4412012.4350000005
Borba                      ;17203;2534004.903
Boticas                    ;19416;1869675.2929999996
Braga                      ;426159;81470134.45400003
Bragança                   ;120067;13682330.093
Cabeceiras de Basto        ;42746;3697770.0300000003
Cadaval                    ;38910;4540684.379
Caldas da Rainha           ;148728;20596396.095000003
Caminha                    ;65123;5020805.004999999
Campo Maior                ;21526;7377399.737000001
Cantanhede                 ;97794;19890499.703
Carrazeda de Ansiães       ;22405;1424461.7690000003
Carregal do Sal            ;29365;3086446.3989999997
Cartaxo                    ;59078;11868232.659
Cascais                    ;512384;69881191.405
Castanheira de Pêra        ;10571;1255760.547
Castelo Branco             ;175396;24076183.417999998
Castelo de Paiva           ;32421;4607526.454
Castelo de Vide            ;11818;1649591.746
Castro daire               ;50603;3789150.5679999995
Castro Marim               ;37311;6127880.471000001
Castro Verde               ;20025;2138873.784
Celorico da Beira          ;25154;1838220.829
Celorico de Basto          ;44517;4862072.166000001
Chamusca                   ;25307;7465718.861999999
Chaves                     ;123349;12745448.147000002
Cinfães                    ;49250;3651522.1080000005
Coimbra                    ;378121;72965099.698
Condeixa-a-Nova            ;37463;6077576.033
Constância                 ;9749;4558787.828
Coruche                    ;46643;11573213.112
Covilhã                    ;144630;21598164.116999995
Crato                      ;12691;1225098.5729999999
Cuba                       ;12583;2250358.995
Elvas                      ;53881;9383674.127999999
Entroncamento              ;50200;7029650.352
Espinho                    ;74614;9304757.72
Esposende                  ;104310;12472700.009000001
Estarreja                  ;57952;56900554.745000005
Estremoz                   ;37832;5734979.971
Fafe                       ;116287;16475437.156000001
Faro                       ;183775;31903564.552
Felgueiras                 ;112462;19813393.103
Ferreira do Alentejo       ;21479;9308979.762999998
Ferreira do Zêzere         ;31750;4323995.499000001
Figueira da Foz            ;200104;81200903.437
Figueira de Castelo Rodrigo;21448;1540286.1379999998
Figueiró dos Vinhos        ;21028;1355707.705
Fornos de Algodres         ;16467;1268912.8370000003
Freixo de Espada À Cinta   ;14089;920841.339
Fronteira                  ;10280;1291194.841
Fundão                     ;97154;10086481.088000001
Gavião                     ;14161;1120072.865
Golegã                     ;17119;5014110.759
Gondomar                   ;333689;40815746.938999996
Gouveia                    ;43542;3275406.5510000004
Grândola                   ;50864;9976263.304
Guarda                     ;122868;19400124.172999993
Guimarães                  ;316991;81982026.485
Góis                       ;20015;1081407.328
Idanha-a-Nova              ;43214;4224494.509
Lagoa                      ;97275;19542784.096
Lagos                      ;138170;20494028.528
Lamego                     ;72475;7393189.7700000005
Leiria                     ;332390;70801186.034
Lisboa                     ;1580972;324726134.3529999
Loulé                      ;309830;63878521.304000005
Loures                     ;442846;73903015.82100001
Lourinhã                   ;76268;8978701.826999998
Lousada                    ;90526;12448871.665000001
Lousã                      ;46576;6124024.129
Macedo de Cavaleiros       ;50423;3967649.5190000013
Mafra                      ;201686;29633668.13299999
Maia                       ;284554;126958884.74
Mangualde                  ;53504;15570664.595999997
Manteigas                  ;11021;930355.98
Marco de Canaveses         ;108024;15736877.105
Marinha Grande             ;100269;55654249.103
Marvão                     ;11324;1271998.543
Matosinhos                 ;389411;69434786.61000001
Mação                      ;27365;2932879.3340000003
Mealhada                   ;46226;9445601.086
Melgaço                    ;32302;2304928.43
Mesão Frio                 ;9688;751555.9550000001
Mira                       ;39864;6321463.027
Miranda do Corvo           ;31093;2662118.568
Miranda do douro           ;26264;2546641.1420000005
Mirandela                  ;69466;6750024.256999999
Mogadouro                  ;33268;2531673.57
Moimenta da Beira          ;34290;3036283.2709999997
Moita                      ;157881;13579472.409
Monchique                  ;18311;2663813.23
Mondim de Basto            ;21086;1622241.754
Monforte                   ;8937;1315102.605
